country,iso3,population,estimated_greywater_m3_year,greywater_tons_per_hour,reuse_efficiency_pct,estimated_reused_water_m3_year,reuse_effectiveness_class,untapped_reuse_m3_year,predicted_reuse_class,urban_population_pct,improved_reuse_score,improved_reuse_class,water_stress_pct,water_risk_score,water_risk_class,infrastructure_intelligence_score,infrastructure_class
Jamaica,JAM,2839786,141989300,16208.824200913245,13.98990255002621,19864164.701464366,Low,122125135.29853565,Low,58.4510149367429,31.774347504712885,Moderate,12.38281888,22.078583192356444,Low Risk,25.95688891729902,Emerging
Japan,JPN,124516650,6225832500,710711.4726027398,30.32113785527209,1887743254.963333,Moderate,4338089245.036667,Moderate,92.0826903891473,55.02575886882218,Good,36.64367816,45.834718514411094,Moderate Risk,49.51113465617553,Emerging
Jordan,JOR,11439213,571960650,65292.311643835616,75.71822779343894,433078467.85583407,Highly Effective,138882182.14416593,Highly Effective,92.682236868336,82.50383142339777,Advanced,105.2021265,93.85297896169888,Critical,89.31331994637844,Highly Advanced
Kazakhstan,KAZ,20330104,1016505200,116039.40639269406,29.24021990155664,297228355.79075813,Moderate,719276844.2092419,Moderate,61.7560919499181,42.24656872090122,Moderate,34.62690707,38.43673789545061,Moderate Risk,39.96067022563086,Emerging
Kenya,KEN,55339003,2766950150,315861.8892694064,43.90929663075246,1214948348.9885502,Good,1552001801.0114498,Good,31.6330340816429,38.99879161110864,Moderate,33.23990107,36.11934634055432,Moderate Risk,37.27112444877605,Emerging
Kiribati,KIR,132530,6626500,756.4497716894977,57.72642191713834,3825241.348339172,Good,2801258.651660828,Good,61.5244676194408,59.24564019805933,Good,,,,,
"Korea, Dem. People's Rep.",PRK,26418204,1320910200,150788.83561643836,32.27222017844705,426287048.1035653,Moderate,894623151.8964348,Moderate,63.5382165423021,44.77861872398907,Moderate,27.7404678,36.25954326199454,Moderate Risk,39.66717344679235,Emerging
"Korea, Rep.",KOR,51712619,2585630950,295163.350456621,77.88365620407205,2013783919.804082,Highly Effective,571847030.1959181,Highly Effective,81.1645551720421,79.19601579126007,Advanced,85.22183304,82.20892441563004,Critical,81.00376096588205,Highly Advanced
Kosovo,XKX,1682668,84133400,9604.269406392694,77.18354712065835,64937142.43321197,Highly Effective,19196257.56678804,Highly Effective,49.1105579101515,65.95435143645561,Good,,,,,
Kuwait,KWT,4853420,242671000,27702.16894977169,23.88367218690232,57958746.1326777,Moderate,184712253.8673223,Moderate,100.0,54.33020331214139,Good,3850.5,1952.4151016560706,,1193.1811423184988,
Kyrgyz Republic,KGZ,7099750,354987500,40523.68721461188,42.29363794192891,150137127.98910487,Good,204850372.0108952,Good,34.706439175362,39.25875843530214,Moderate,50.03895598,44.64885720765107,Moderate Risk,42.4928176987115,Emerging
Lao PDR,LAO,7664993,383249650,43749.9600456621,27.56587323625773,105646112.6974014,Moderate,277603537.3025986,Moderate,38.8070088517156,32.06232748244088,Moderate,4.791395046,18.426861264220438,Low Risk,23.881047751508618,Developing
Latvia,LVA,1883710,94185500,10751.769406392694,26.36303707831007,24830158.287391733,Moderate,69355341.71260826,Moderate,68.3586316343061,43.16127490070848,Moderate,1.015521509,22.08839820485424,Low Risk,30.517548883195936,Emerging
Lebanon,LBN,5773493,288674650,32953.72716894977,7.76652105158996,22419977.46285364,Low,266254672.5371464,Low,90.4524074197598,40.84087559885789,Moderate,58.79299156,49.81693357942895,Moderate Risk,46.22651038720052,Emerging
Lesotho,LSO,2311472,115573600,13193.333333333334,50.71732504849226,58615838.38224425,Good,56957761.61775575,Good,42.6781596804785,47.50165890128676,Moderate,2.565905097,25.03378199914338,Moderate Risk,34.02093276000073,Emerging
Liberia,LBR,5493031,274651550,31352.916666666668,42.70092674216461,117278757.1617196,Good,157372792.83828038,Good,54.997863482224,47.61970143818837,Moderate,0.264311594,23.942006516094185,Low Risk,33.41308448493186,Emerging
Libya,LBY,7305659,365282950,41698.966894977166,8.860906343749201,32367380.08918422,Low,332915569.9108158,Low,87.8647197919848,40.46243172304344,Moderate,817.1428571,428.8026444115217,Critical,273.4665593361304,Highly Advanced
Liechtenstein,LIE,39846,1992300,227.43150684931507,25.898484817745857,515975.5130239507,Moderate,1476324.4869760494,Moderate,14.6783761234077,21.4104413400106,Low,,,,,
Lithuania,LTU,2871585,143579250,16390.325342465752,73.11994144749903,104985063.53075825,Highly Effective,38594186.46924175,Highly Effective,68.575454583199,71.30214670177902,Advanced,2.165537131,36.73384191638951,Moderate Risk,50.56116383054532,Advanced
Luxembourg,LUX,666430,33321500,3803.8242009132414,22.967141800022933,7652996.154894642,Moderate,25668503.84510536,Moderate,94.8015300320787,51.700897092845246,Good,3.95854063,27.829718861422624,Moderate Risk,37.378190153991675,Emerging
"Macao SAR, China",MAC,678800,33940000,3874.429223744292,15.867115406841732,5385298.969082084,Low,28554701.03091792,Low,100.0,49.52026924410504,Moderate,,,,,
Madagascar,MDG,31195932,1559796600,178058.97260273973,41.70895702081722,650574893.5061684,Good,909221706.4938316,Good,31.9799438860946,37.81735176692818,Moderate,11.26150628,24.539429023464088,Low Risk,29.850598120849725,Emerging
Malawi,MWI,21104482,1055224100,120459.37214611872,78.92378405829506,832822790.0150875,Highly Effective,222401309.9849125,Highly Effective,16.9748746665356,54.14422030159128,Good,17.50483809,35.82452919579564,Moderate Risk,43.15240563811389,Emerging
Malaysia,MYS,35126298,1756314900,200492.56849315067,23.15414536336253,406659704.98439527,Moderate,1349655195.0156047,Moderate,76.4434752105739,44.46987730224708,Moderate,3.43948718,23.95468224112354,Low Risk,32.160760265572954,Emerging
Maldives,MDV,525994,26299700,3002.2488584474886,55.41016605544089,14572707.442082789,Good,11726992.557917211,Good,41.5096832933973,49.84997295062345,Moderate,15.66666667,32.758319810311725,Moderate Risk,39.59498106643642,Emerging
Mali,MLI,23769127,1188456350,135668.53310502283,62.12147114965382,738286568.5914788,Highly Effective,450169781.4085212,Highly Effective,31.0031889023235,49.67415825072169,Moderate,8.00308642,28.838622335360846,Moderate Risk,37.17283670150518,Emerging
Malta,MLT,552747,27637350,3154.9486301369866,22.82281579942997,6307621.48234376,Moderate,21329728.51765624,Moderate,95.6272277147965,51.94458056557659,Good,72.60000792,62.27229424278829,High Risk,58.14120877190361,Advanced
Marshall Islands,MHL,38827,1941350,221.61529680365297,59.61622614588947,1157359.6062832254,Good,783990.3937167746,Good,78.3593928884282,67.11349284290496,Good,,,,,
Mauritania,MRT,5022441,251122050,28666.900684931505,32.58373495394399,81824943.1829107,Moderate,169297106.81708932,Moderate,59.7142464747058,43.43593956224872,Moderate,13.24621733,28.34107844612436,Moderate Risk,34.3790228925741,Emerging
Mauritius,MUS,1248647,62432350,7126.980593607306,52.42293729451846,32728871.69199429,Good,29703478.308005705,Good,39.0039901092226,47.05535842040012,Moderate,22.97346419,35.014411305200056,Moderate Risk,39.830790151280084,Emerging
Mexico,MEX,129739759,6486987950,740523.7385844748,52.5147283070671,3406624097.254682,Good,3080363852.745318,Good,79.4734935748046,63.29823441416211,Good,44.94514734,54.12169087708105,High Risk,57.79230829191347,Advanced
"Micronesia, Fed. Sts.",FSM,112630,5631500,642.865296803653,45.18310130560688,2544486.3500252515,Good,3087013.6499747485,Good,22.4334012451903,36.08322128144025,Moderate,,,,,
Moldova,MDA,2457783,122889150,14028.441780821917,11.771732754080624,14466182.32176127,Low,108422967.67823872,Low,43.0011825561523,24.263512674909297,Low,12.56311256,18.41331261745465,Low Risk,20.75339264043651,Developing
Monaco,MCO,38956,1947800,222.351598173516,67.64768716919285,1317641.6506815385,Highly Effective,630158.3493184617,Highly Effective,100.0,80.58861230151571,Advanced,,,,,
Mongolia,MNG,3481145,174057250,19869.54908675799,29.05850487288019,50578434.47285125,Moderate,123478815.52714875,Moderate,70.4464492797852,45.61368263564219,Moderate,3.395007342,24.504344988821096,Low Risk,32.94808004754954,Emerging
Montenegro,MNE,623529,31176450,3558.955479452055,18.98888827998907,5920061.2601666525,Low,25256388.739833347,Low,65.4731667624849,37.5825996729874,Moderate,,,,,
Morocco,MAR,37712505,1885625250,215254.0239726028,8.058135616607293,151946239.8659903,Low,1733679010.1340096,Low,62.673750838878,29.904381705515576,Low,50.75121202,40.327796862757786,Moderate Risk,36.1584307998609,Emerging
Mozambique,MOZ,33635160,1681758000,191981.50684931505,49.31697073911813,829392100.7627783,Good,852365899.2372217,Good,35.7149783148407,43.87617376940716,Moderate,1.751486326,22.81383004770358,Low Risk,31.238767536385012,Emerging
Myanmar,MMR,54133798,2706689900,308982.86529680365,55.81732713817118,1510801956.0988386,Good,1195887943.9011614,Good,30.3820718069466,45.643225005681344,Moderate,5.801501397,25.722363201340674,Moderate Risk,33.69070792307694,Emerging
Namibia,NAM,2963095,148154750,16912.642694063925,6.244087169589212,9250911.735886972,Low,138903838.26411304,Low,49.9545837830821,23.72828581498637,Low,0.314668328,12.021477071493186,Low Risk,16.70420056889046,Developing
Nauru,NRU,11875,593750,67.77968036529681,43.40697937244608,257728.94002389853,Good,336021.05997610145,Good,100.0,66.04418762346765,Good,,,,,
Nepal,NPL,29694614,1484730700,169489.80593607304,21.987183139845342,326450458.1425078,Moderate,1158280241.8574922,Moderate,66.5432933453944,39.80962722206497,Moderate,8.311832662,24.060729942032484,Low Risk,30.36028885404548,Emerging
Netherlands,NLD,17877117,893855850,102038.33904109588,53.38795928070874,477211397.226233,Good,416644452.773767,Good,95.3221682092129,70.1616428521104,Advanced,16.65850698,43.4100749160552,Moderate Risk,54.11070209047728,Advanced
New Caledonia,NCL,289870,14493500,1654.5091324200912,18.07748217537436,2620059.879087882,Low,11873440.120912118,Low,67.751522311337,37.94709822975942,Moderate,,,,,
New Zealand,NZL,5200000,260000000,29680.36529680365,56.82033035768495,147732858.92998084,Good,112267141.07001916,Good,83.8898991461229,67.64815787306013,Good,8.04808476,37.84812131653006,Moderate Risk,49.76813593914209,Emerging
Nicaragua,NIC,6823613,341180650,38947.56278538812,34.00515097254031,116018995.12159434,Moderate,225161654.8784057,Moderate,59.1250953674316,44.05312873049682,Moderate,2.220900209,23.13701446974841,Low Risk,31.503460174047778,Emerging
Niger,NER,26159867,1307993350,149314.3093607306,75.25474915525508,984327114.5099176,Highly Effective,323666235.4900824,Highly Effective,17.7506873295237,52.25312442496253,Good,11.02093771,31.637031067481264,Moderate Risk,39.88346841047377,Emerging
Nigeria,NGA,227882945,11394147250,1300701.74086758,15.314070810949492,1744907778.1688545,Low,9649239471.831146,Low,62.1746763155343,34.058313012783415,Moderate,9.668217054,21.863265033391706,Low Risk,26.74128422514839,Emerging
North Macedonia,MKD,1827816,91390800,10432.739726027396,30.579976328769387,27947285.00667297,Moderate,63443514.99332702,Moderate,62.2518322545779,43.24871869909279,Moderate,52.55324298,47.90098083954639,Moderate Risk,46.04007598336496,Emerging
Northern Mariana Islands,MNP,45143,2257150,257.6655251141553,13.51051409304418,304952.5688511468,Low,1952197.4311488527,Low,91.9754112887573,44.89647297132943,Moderate,,,,,
Norway,NOR,5519601,275980050,31504.57191780821,74.3520213708922,205196745.755399,Highly Effective,70783304.24460101,Highly Effective,83.0718560702166,77.83995525062195,Advanced,2.044007605,39.94198142781098,Moderate Risk,55.10117095693537,Advanced
Oman,OMN,5049269,252463450,28820.028538812785,70.80045150357357,178745262.48149872,Highly Effective,73718187.51850128,Highly Effective,79.5702973228932,74.30838983130143,Advanced,116.7142857,95.51133776565072,Critical,87.030158591911,Highly Advanced
Pakistan,PAK,247504495,12375224750,1412696.8892694062,24.34562207863667,3012825449.0169096,Moderate,9362399300.98309,Moderate,38.8191861872791,30.13504772209364,Moderate,109.9932519,70.06414981104682,High Risk,54.09250897546555,Advanced
Palau,PLW,17727,886350,101.18150684931506,54.49880345256343,483050.14440179593,Good,403299.85559820407,Good,79.1531991438847,64.36056172909194,Good,,,,,
Panama,PAN,4458759,222937950,25449.53767123288,66.29166501509118,147789279.00551146,Highly Effective,75148670.99448854,Highly Effective,65.8601271176084,66.11904985609807,Good,0.90107111,33.51006048304904,Moderate Risk,46.55365623226865,Emerging
Papua New Guinea,PNG,10389635,519481750,59301.56963470319,46.64006086995968,242286604.4083317,Good,277195145.59166825,Good,15.0581017891206,34.00727723762405,Moderate,0.132242833,17.069760035312026,Low Risk,23.844766916236836,Developing
Paraguay,PRY,6844146,342207300,39064.760273972606,44.723793376700485,153048085.77198556,Good,189159214.22801444,Good,69.3466081733694,54.57291929536805,Good,1.835399711,28.204159503184027,Moderate Risk,38.75166342005764,Emerging
Peru,PER,33845617,1692280850,193182.74543379,23.13892181753388,391575542.8145978,Moderate,1300705307.1854022,Moderate,84.7810255849745,47.79576332451013,Moderate,4.82842772,26.312095522255067,Moderate Risk,34.9055626431571,Emerging
Philippines,PHL,114891199,5744559950,655771.6837899544,11.98270758544244,688353820.8789384,Low,5056206129.121061,Low,55.1242716168851,29.239333198019505,Low,27.83151711,28.53542515400975,Moderate Risk,28.816988371613654,Emerging
Poland,POL,36687353,1834367650,209402.69977168948,72.29118184649951,1326086053.5948598,Highly Effective,508281596.40514016,Highly Effective,59.8859561370214,67.32909156270827,Good,32.48528903,49.90719029635413,Moderate Risk,56.875950802895794,Advanced
Portugal,PRT,10578174,528908700,60377.70547945206,72.53135428724978,383624643.0530871,Highly Effective,145284056.94691294,Highly Effective,61.2048652633664,68.00075867769642,Good,12.31571228,40.15823547884821,Moderate Risk,51.2952447583875,Advanced
Puerto Rico (US),PRI,3203792,160189600,18286.48401826484,52.482609295495095,84071681.90001641,Good,76117918.09998359,Good,94.1774359275881,69.1605399483323,Good,19.53561063,44.34807528916615,Moderate Risk,54.27306115283261,Advanced
Qatar,QAT,2656032,132801600,15160.0,30.42723432865256,40407854.02419985,Moderate,92393745.97580016,Moderate,99.2835325193835,57.96975360494494,Good,431.0344828,244.50211820247245,Critical,169.88917236346148,Highly Advanced
Romania,ROU,19061062,953053100,108796.01598173517,31.190718095949567,297264105.7257083,Moderate,655788994.2742918,Moderate,52.1645747011867,39.580260738044416,Moderate,7.63130793,23.605784334022207,Low Risk,29.99557489563109,Emerging
Russian Federation,RUS,143826130,7191306500,820925.399543379,59.44667591526795,4274992669.128599,Good,2916313830.8714013,Good,74.9805047873279,65.66020746409193,Good,4.122242749,34.89122510654596,Moderate Risk,47.19881804956435,Emerging
Rwanda,RWA,13954471,697723550,79648.80707762558,72.28326949644328,504337393.9866512,Highly Effective,193386156.0133488,Highly Effective,28.8555310645477,54.91217412368505,Good,20.1986755,37.55542481184253,Moderate Risk,44.49812453657954,Emerging
Samoa,WSM,216663,10833150,1236.6609589041095,71.5314818198838,7749112.722770741,Highly Effective,3084037.277229259,Highly Effective,17.5012799804602,49.91940108411436,Moderate,,,,,
San Marino,SMR,33860,1693000,193.2648401826484,63.49066593932179,1074896.974352718,Highly Effective,618103.0256472821,Highly Effective,97.1317310361655,76.94709197805928,Advanced,,,,,
Sao Tome and Principe,STP,230871,11543550,1317.7568493150686,53.15237346157159,6135670.806723246,Good,5407879.193276754,Good,68.6043921103568,59.33318092108567,Good,1.876146789,30.604663855042837,Moderate Risk,42.09607068145997,Emerging
Saudi Arabia,SAU,33702731,1685136550,192367.18607305936,11.310497374628662,190597325.24665803,Low,1494539224.753342,Low,84.2962388315415,40.5047939573938,Moderate,974.1666667,507.33573032869685,Critical,320.6033557801756,Highly Advanced
Senegal,SEN,18077573,903878650,103182.49429223745,17.122153557096034,154763490.42280662,Low,749115159.5771934,Low,54.6992276190794,32.15298318188938,Moderate,16.2764487,24.214715940944693,Low Risk,27.39002283732257,Emerging
Serbia,SRB,6623183,331159150,37803.55593607306,72.39156413953094,239731288.4761755,Highly Effective,91427861.52382451,Highly Effective,62.1434649229738,68.29232445290808,Good,5.737631015,37.01497773395404,Moderate Risk,49.525916421535655,Emerging
Seychelles,SYC,119773,5988650,683.6358447488584,50.48217947446925,3023201.0410978026,Good,2965448.9589021974,Good,45.0971081321658,48.32815093754787,Moderate,,,,,
Sierra Leone,SLE,8460512,423025600,48290.593607305935,5.689778871247223,24069221.2087668,Low,398956378.7912332,Low,44.809324991151,21.337597319208736,Low,0.495794393,10.916695856104369,Low Risk,15.085056441346115,Developing
Singapore,SGP,5917648,295882400,33776.5296803653,12.610365714952408,37311852.72617835,Low,258570547.27382165,Low,100.0,47.56621942897144,Moderate,33.25522267,40.41072104948572,Moderate Risk,43.27292040128001,Emerging
Sint Maarten (Dutch part),SXM,42749,2137450,244.0011415525114,54.76263268310419,1170523.8922850103,Good,966926.1077149896,Good,100.0,72.85757960986251,Advanced,,,,,
Slovak Republic,SVK,5426740,271337000,30974.54337899544,5.379618788466401,14596896.23206108,Low,256740103.7679389,Low,53.190805019646,24.504093280938243,Low,2.425230293,13.46466178696912,Low Risk,17.88043438455677,Developing
Slovenia,SVN,2120461,106023050,12103.08789954338,17.060603856312397,18088172.55688002,Low,87934877.44311997,Low,55.5378927789875,32.45151942538244,Moderate,5.591615957,19.021567691191223,Low Risk,24.39354838486771,Developing
Solomon Islands,SLB,800005,40000250,4566.238584474886,46.15503420249396,18462129.06858309,Good,21538120.93141691,Good,30.0088821088389,39.69657336503194,Moderate,,,,,
"Somalia, Fed. Rep.",SOM,18358615,917930750,104786.61529680363,56.892139826952,522230445.8045892,Good,395700304.1954109,Good,54.0714435506882,55.76386131644648,Good,24.52774059,40.145800953223244,Moderate Risk,46.39302509851254,Emerging
South Africa,ZAF,63212384,3160619200,360801.2785388128,53.89709446269504,1703481915.8300762,Good,1457137284.1699238,Good,63.5823705163545,57.77120488415882,Good,67.59526097,62.68323292707941,High Risk,60.71842170991117,Advanced
South Sudan,SSD,11483374,574168700,65544.37214611872,21.820198209541985,125284748.3971505,Moderate,448883951.6028495,Moderate,21.0737755279692,21.52162913691287,Low,4.226075787,12.873852461956435,Low Risk,16.33296313193901,Developing
Spain,ESP,48352528,2417626400,275984.7488584475,58.41344160106519,1412218785.295935,Good,1005407614.7040652,Good,80.128491001856,67.09946136138151,Good,43.25403923,55.17675029569075,High Risk,59.94583472196706,Advanced
Sri Lanka,LKA,22037000,1101850000,125781.96347031964,22.793681562260005,251152180.29376185,Moderate,850697819.7062382,Moderate,20.1455348442463,21.734422875054523,Low,90.78541374,56.25991830752726,High Risk,42.44972013453816,Emerging
St. Kitts and Nevis,KNA,46758,2337900,266.8835616438356,29.40497736194508,687458.965744914,Moderate,1650441.034255086,Moderate,31.7007809622822,30.32329880207993,Moderate,50.83333333,40.57831606603997,Moderate Risk,36.47630916045595,Emerging
St. Lucia,LCA,179285,8964250,1023.316210045662,60.98685538385181,5467014.183746937,Highly Effective,3497235.816253064,Highly Effective,29.0976313248036,48.23116576023253,Moderate,14.3,31.265582880116263,Moderate Risk,38.05181603216277,Emerging
St. Martin (French part),MAF,27515,1375750,157.04908675799086,53.7224674285411,739086.8456481542,Good,636663.1543518458,Good,100.0,72.23348045712466,Advanced,,,,,
St. Vincent and the Grenadines,VCT,101323,5066150,578.3276255707763,68.69175578706334,3480027.385806309,Highly Effective,1586122.6141936905,Highly Effective,47.7169922340041,60.30185036583964,Good,7.9,34.10092518291982,Moderate Risk,44.58129525608775,Emerging
Sudan,SDN,50042791,2502139550,285632.3687214612,54.32096692252576,1359186397.3109348,Good,1142953152.6890652,Good,34.7960076976764,46.510983232586014,Moderate,118.6563877,82.583685466293,Critical,68.1546045728102,Advanced
Suriname,SUR,628886,31444300,3589.53196347032,47.62314525016037,14974764.661896177,Good,16469535.338103823,Good,65.7562408447266,54.87638348798687,Good,3.950609365,29.413496426493435,Moderate Risk,39.59865125109081,Emerging
Sweden,SWE,10536632,526831600,60140.593607305935,12.025607587106936,63354700.86087687,Low,463476899.1391232,Low,88.631216160938,42.66785101663936,Moderate,3.582972583,23.12541179981968,Low Risk,30.942387486547553,Emerging
Switzerland,CHE,8888822,444441100,50735.28538812785,32.57868522945751,144793066.9993385,Moderate,299648033.0006615,Moderate,85.1854212679815,53.62137964486711,Good,6.498855835,30.060117739933556,Moderate Risk,39.484622501906976,Emerging
Syrian Arab Republic,SYR,23594623,1179731150,134672.50570776255,24.89017757612941,293637178.1559136,Moderate,886093971.8440864,Moderate,72.1673803143204,43.801058671405805,Moderate,124.3601389,84.0805987857029,Critical,67.96878273998405,Advanced
Tajikistan,TJK,10389799,519489950,59302.50570776255,23.29922325343127,121037123.22963846,Moderate,398452826.7703616,Moderate,26.1890127571429,24.45513905491592,Low,69.94326428,47.199201667457956,Moderate Risk,38.101576622441144,Emerging
Tanzania,TZA,66617606,3330880300,380237.4771689498,77.97579160643342,2597280281.387744,Highly Effective,733600018.612256,Highly Effective,35.4748019434954,60.97539574125821,Good,12.96324081,36.96931827562911,Moderate Risk,46.57174926188075,Emerging
Thailand,THA,71702435,3585121750,409260.4737442922,34.482329350007035,1236233489.4337358,Moderate,2348888260.566264,Moderate,60.9341926574707,45.0630746729925,Moderate,23.01393518,34.03850492649625,Moderate Risk,38.44833282509475,Emerging
Timor-Leste,TLS,1384286,69214300,7901.175799086758,71.9034916382835,49767498.412996456,Highly Effective,19446801.587003544,Highly Effective,28.595471832952,54.5802837161509,Good,28.26821032,41.42424701807545,Moderate Risk,46.68666169730563,Emerging
Togo,TGO,9304337,465216850,53106.94634703197,52.33539694979471,243473085.12483105,Good,221743764.8751689,Good,43.2496853032436,48.70111229117427,Moderate,3.391634981,26.046373636087136,Moderate Risk,35.10826909812199,Emerging
Tonga,TON,104597,5229850,597.0148401826484,64.61084776562363,3379050.421870468,Highly Effective,1850799.5781295325,Highly Effective,21.147944541337,47.22568647590897,Moderate,,,,,
Trinidad and Tobago,TTO,1367510,68375500,7805.422374429224,42.69778198288941,29194821.91971055,Good,39180678.08028945,Good,53.9536842104572,47.200142873916526,Moderate,20.32648126,33.763312066958264,Moderate Risk,39.138044389741566,Emerging
Tunisia,TUN,12200431,610021550,69637.16324200913,48.267791346976935,294443928.92559457,Good,315577621.07440543,Good,70.0266686486584,56.97134226764952,Good,98.11339918,77.54237072382476,Critical,69.31395934135466,Advanced
Turkiye,TUR,85325965,4266298250,487020.34817351593,41.93882703641479,1789235443.9250913,Good,2477062806.0749087,Good,89.0218446796121,60.77203409369372,Good,47.88653346,54.329283776846864,High Risk,56.9063839035856,Advanced
Turkmenistan,TKM,7364438,368221900,42034.46347031964,19.643224084853337,72330652.94650456,Low,295891247.0534954,Low,47.0678875054171,30.61308945307884,Moderate,135.2138073,82.91344837653942,Critical,61.9933048071552,Advanced
Turks and Caicos Islands,TCA,46198,2309900,263.6872146118721,59.1839086446129,1367089.1057819135,Good,942810.8942180864,Good,93.9324513656818,73.08332573304045,Advanced,,,,,
Tuvalu,TUV,9816,490800,56.02739726027397,26.057927183064184,127892.306614479,Moderate,362907.693385521,Moderate,64.0117206689787,41.23944457742999,Moderate,,,,,
Uganda,UGA,48656601,2432830050,277720.3253424657,6.823697482359038,166008962.87192413,Low,2266821087.128076,Low,30.6059359395495,16.33659286523522,Low,5.82799634,11.082294602617612,Low Risk,13.184013907664655,Developing
Ukraine,UKR,37732836,1886641800,215370.06849315067,53.41042219303758,1007663350.6503236,Good,878978449.3496763,Good,69.4754455027606,59.8364315169268,Good,6.298134232,33.0672828744634,Moderate Risk,43.774942331448756,Emerging
United Arab Emirates,ARE,10483751,524187550,59838.76141552512,18.28330095552867,95838787.33791234,Low,428348762.6620877,Low,85.6680699002526,45.23720853341825,Moderate,1509.933333,777.5852707667091,Critical,484.6460458733927,Highly Advanced
United Kingdom,GBR,68492000,3424600000,390936.07305936073,75.53439382646857,2586750850.9812427,Highly Effective,837849149.0187573,Highly Effective,83.1601932891335,78.58471361153454,Advanced,14.35464621,46.46967991076727,Moderate Risk,59.31569339107418,Advanced
United States,USA,336806231,16840311550,1922409.9942922376,76.54464327519405,12890356402.3788,Highly Effective,3949955147.621199,Highly Effective,80.071561119178,77.95541041278763,Advanced,28.15525982,53.05533511639381,High Risk,63.01536523495134,Advanced
Uruguay,URY,3388081,169404050,19338.36187214612,73.61482926653363,124706502.17809324,Highly Effective,44697547.821906745,Highly Effective,95.5439605712891,82.38648178843582,Advanced,12.05201437,47.219248079217905,Moderate Risk,61.28614156290507,Advanced
Uzbekistan,UZB,35652307,1782615350,203494.9029680365,32.761902519158326,584018703.258553,Moderate,1198596646.741447,Moderate,50.9964841114568,40.05573515607772,Moderate,123.0283912,81.54206317803886,Critical,64.9475319692544,Advanced
Vanuatu,VUT,320409,16020450,1828.8184931506848,6.159246239665057,986738.9642024208,Low,15033711.03579758,Low,22.2651966823901,12.601626416755074,Low,,,,,
"Venezuela, RB",VEN,28300854,1415042700,161534.55479452055,74.6238921940794,1055959938.9481905,Highly Effective,359082761.05180955,Highly Effective,89.249627620225,80.47418636453764,Advanced,7.540366667,44.00727651576882,Moderate Risk,58.59404045527636,Advanced
Viet Nam,VNM,100352192,5017609600,572786.4840182648,37.11381112379858,1862226149.8735847,Moderate,3155383450.126415,Moderate,38.1298904418945,37.52024285103695,Moderate,18.13031538,27.825279115518473,Moderate Risk,31.703264609725863,Emerging
Virgin Islands (U.S.),VIR,104917,5245850,598.8413242009133,77.49911142827521,4065487.136860175,Highly Effective,1180362.863139825,Highly Effective,95.2740790945924,84.60909849480208,Advanced,,,,,
West Bank and Gaza,PSE,5165775,258288750,29485.01712328767,77.27149828169397,199583587.0180588,Highly Effective,58705162.98194119,Highly Effective,86.8576870415886,81.10597378565183,Advanced,47.7535301669,64.42975197627591,High Risk,71.10024070002628,Advanced
"Yemen, Rep.",YEM,39390799,1969539950,224833.3276255708,68.975709160052,1358504147.7030337,Highly Effective,611035802.2969663,Highly Effective,36.5707979836506,56.013744689491446,Good,169.7619048,112.88782474474573,Critical,90.13819272264402,Highly Advanced
Zambia,ZMB,20723965,1036198250,118287.47146118722,27.083666905218927,280640482.50770766,Moderate,755557767.4922924,Moderate,45.0285853521585,34.26163428399475,Moderate,2.835497836,18.548566059997377,Low Risk,24.833793349596327,Developing
Zimbabwe,ZWE,16340822,817041100,93269.53196347032,33.882329645144395,276832558.8383139,Moderate,540208541.1616862,Moderate,39.2919370795795,36.04617261891843,Moderate,46.09162031,41.068896464459215,Moderate Risk,39.059806926242906,Emerging
